,result,type
6b070903294f99f22f96f3440dfa00246c619561,N,BI
c282a0fc971358e4947aeddad5fa781d8f58f0c1,Y,BI
304d7100e669beb100595908256c3606bde15ff4,Y,BI
7dc851ac614cfff388ccef4abbcd854c33356a55,Y,BI
cf9029c1bda0b4dec2333feec5eb2759915b180d,N,BI
e68bfa989dafaeaa0280c1a321dc704804c5c12e,N,BI
7b318086c5167d10b74830b390b484ca4262a10e,N,BI
9b5a18dc7b1da7926140625649aa0e06b2605df0,Y,BI
41c644dbbaef216a27fd83e4d290037b2a485b46,N,BI
fdd5b27c3457d66091e81009fde1dbb8595b1c31,N,BI
483f81c04062a9d9bc52b36aba68908d1387b629,N,BI
982e295053663787bb0396b81a8956c3c87dc25b,N,BI
cbf8e4eb017a99af9a8f24eb8429e8a12b62af8b,N,BI
ef9524aed96ca4d195fc390ece625a902fb37f4b,Y,BI
05c4617bd518863d8b138b14f141063232f0aa5c,Y,BI
c3999452afb4b74ce03c960b31a4a3f288bbe6be,Y,BI
3482322192307199d4db1c66e921b7beb6e6dcb6,Y,BI
cfafb7af5c0bd617603221d65e2c30c9b0b3fbaf,Y,BI
85a7311e94b6e63d99ca342d42465bfc7df06b28,Y,BI
47ee02b66475081d691d6e9bd6ec7a60378f8ac0,Y,BI
1d3907bdf748e69efdd8f637487ee13cdd60d81e,Y,BI
25cec7ac110d1e976744cdcdb8a5bdf8da22828f,Y,BI
29a7fd5e735ab0fb3c4196a24e977a643eedc004,Y,BI
ce182bf2a4876f4591c270109ccc462e259920e5,Y,BI
695289c466e51ff7f211867dccbc755fd515fc43,N,BI
9d5837bfc4b05cc2659e9c920d75a07a4a07b2ab,N,BI
b2f1757bf9ec1632a940b9a2e65a1a022ba54af8,N,BI
8cc0632f3a4dfb7bec737b49635cf21962a3e945,N,BI
0aa57f04ede369a4f813bbb86d3eac1ed20b084c,N,BI
06707cb1861c20269d692076dd5ab6cf668a2fbd,N,IC
1592f1cacce938443f95ef5d4834671f876cb26b,Y,IC
be8bdb0240df3eb91e76d7933cca37c2ff5c8a38,N,IC
75944e541d358d5b06ebbba3098a919fbf2539d4,N,IC
2c454a4ce3fe771098746879b166ede2284b94f4,N,IC
ab333482c629d33d5484b4af6eb27918382ccc28,N,IC
04631e01f2d65523b6e95021afe32667d0442d0d,N,IC
05f6fcc7afc2bb16bf3b68e4ea3f35a1f6c8fa02,Y,IC
9a8c3a89822784e125657bde871719f21d2c4670,N,IC
cb7405fa153b9aaa0e511bd93c7fced350318a01,N,IC
0bf26e0d2d071d0688cdffca7d0ec470d38067f8,Y,IC
c2ad1b05fedf2620f96257f3e8ed4852448a5420,N,IC
dd8f44884d06617322ae1e5a6baa0f9c8d343065,N,IC
34658f0862a1ffaa417f50f549e7386b7dd808b7,Y,IC
f5d8a74cf1f8a9a1981ae413a6ab8c6ef24a18b6,N,IC
68c511d965613935194914eab3ebdbfd97e9e405,N,IC
1f001d06a2bde5ee4e3204ab38c4b1db8e95db0b,Y,IC
418091f87d72fe4216840bb2eece08dc3557c1d8,N,IC
4f5b07868ea08a2e876d112ea3f101f14ec7828a,Y,IC
6a23fd60fa26d2bbb15ce8147a57da8ff8c2b12c,N,IC
a0dee62d950e3f8c3d590947b41ba60f0775d540,Y,IC
3dc3a1f1c32c4238103efb11cbf98c5d01719ae0,N,IC
2570e00c3f69ef056a848f6458657e027d14c0bb,N,CR
b7f8443d5246d92b66f1d300cd461e6df41e03ac,N,CR
77a7d7f95ca50eea89ba3ea68d5e6b4815d0e649,N,CR
2bae68787d15c3d3540380164e62759485078ec1,N,CR
bd93ea36e66b491411c4924fb3b7d4a65c2f2784,N,CR
f7c69bfb3c308916842435e2da8aac7f5d93c680,N,CR
2bb21d2ac85b0833d7b8567343aec9cbf62ce945,N,CR
2b85848c454c104bfa67b6e88697447e3f019860,N,CR
946d6de07312410cab2403e294f160c50120c0f2,N,CR
3d5b719ce4b97f2b9bb9c4526abab3fc76045ff5,N,CR
5a9c1015ffb9aef586602790d81ef8abed773081,N,CR
8f19463c351d2f3a5c05f72960632c90ec4a09e2,N,CR
659615112e9c8e2199e41774d2457a8411afbfc4,N,CR
542a834e22c835785b0ca6451ad161d7409135be,N,CR
5bf2ec5d1c22d386f9e014f60824f2bde44ef63e,Y,CR
186be85467c5339ece5c4ec42e83e8d1e64f58bc,N,CR
b53f8bbb526eabe4c3a5847ed48fa76ceb450c28,Y,CR
f4f6e81b711d62f7059b401dd22e2bfa6e561eb4,N,CR
8dcf405909e7368581adaa4c6596cc2af360219c,N,CR
065c898929584382d4c38836a1cb653424f9a530,N,CR
8630063e2562517534302621bafcbc65c2e99685,N,CR
