,nf,la,lr,result
c26f01fb1c9a7c8f27814a6b2fb1ffbaf35abea2,2,42,2,N
a11c82f3bc899de8b69bf69bf0103fba6a3d691e,2,300,177,N
5f2a8837c0dfa7117ca9e30ed1bd5ccc27b2fb83,1,0,98,N
eb88ae9669fc36a4030b5f6cf27c2ea8b8bb15f8,12,1355,0,Y
ab82b11ddeba2161018a4ed2be3ce28c06408ff6,2,6,2,N
120e4a6b44d89b1ad08f007035379817b29df5dc,3,12,9,N
c531834764c31d56332b0918d404c3dbbf02ccac,2,54,3,Y
41d170f0761d21b3cdbb0ae9ae96161a1ba2d4dd,22,2163,805,Y
806c1d78d570c9e260c7a11f63ce07c5f5aa716b,70,9311,9312,N
f9588d4debbe6651633483f61ea1af607bd097b4,5,45,2,Y
0fdd5982c32528e4b5d6913e0cd4ce62c0c68bdb,6,17,8,N
7ba0499d07b41419b1b04b3bc478cd77ce1a9138,5,30,49,N
34bc1b54db9d78b983e9d48a0f1a5a1156393a95,1,5,0,N
66c4b99ddc7daea806c1318a40736d0f5c8fa7bd,4,72,9,Y
3d06f665db4256bb9949c5a96fa6d2cf5b474cbb,1,2,2,N
243e27cf065ec44bae10fb682597472a66d72559,1,4,3,N
d887c5913fddcecad8483ec9a0cbf407ed08c157,2,91,8,Y
2ddd54a7ddfead528f2b1de92dc8dd16be7f5f89,2,5,6,Y
ad4e89087883b009b366b773fe7813d3f77818a7,1,4,4,N
f3eef9b91d5eebbdf32d28fe2fcb31d2f0e890b9,1,27,27,N
700e4e9a684954aca95bf75b1b6623638a3972fe,1,4,0,N
f43e0a53c1f4d3335e720131973dfc8e1103f5f9,3,42,6,N
4fca8268a9c360795abf143452c8dfa06c442d78,48,158,109,Y
72f33c83d4c322869f1af32309ccf0ec86830e7b,22,1327,1327,Y
e7ae9283baaef264903865e8538dbfd8f98cdb1b,2,71,106,Y
05c946a643f1992a65b081324a2516c5a95017c0,1,1,1,N
dc1d0beaa08c626bff3bd9b3c4cd4b7b7ee303a9,1,17,4,Y
93724da6350115a28045ed9ff5b01f99a22641b3,6,241,5,Y
54345a5c9127da2e6150b2a67081ad1cb68dd3e6,2,329,240,N
f1f92df311836e66336b4b648600a567f5067fb1,1,4,4,N
bb8bb80328af3c418e0db641071243125958d9dd,25,1363,1358,Y
f405dbaea6b68e5954a750ec0c2b144a2d478df8,2,139,8,Y
9d80646a923f659d0d0eab16dedef1a325277f25,1,98,0,N
44dc835e0a40b57fbb505c30b3ffa6adb8663493,1,31,9,Y
244fe70119386f5363b08f32f44fb0dbc941ac24,9,93,3,N
789b8bb85471bd7ad129fba42dfb989f3c7d80a5,1,1,1,N
f6ac90fca9d2545d9e3fe26b7ad1f9a9e9550a34,4,7,6,N
08beceed357284c824608bec561cad00307df25f,1,1,1,N
fd5f2734a3c62204bd974ba5462f2a5fa6f54c58,1,5,2,Y
e5e367a2b28823db9e2e31522bd6e67cc42dd7af,1,244,0,N
892e210a8f58852d2a8634ccc75b4817c5c2f10a,8,10,10,N
b0e7365e0cd233ee93d05f620dc141992efdfcdc,18,2517,0,Y
