,nf,la,lr,result
8012cd7a4a8665469ccd4e89c4b7013f52007021,635.0,4298.0,87056.0,N
54fc737a207cffa8d5013e58ed0a2778cd4ec170,1.0,11.0,7.0,N
66a397368a98834095b47db2b706420901c52ba3,1.0,12.0,1.0,N
deb55ec918126400ed94ee49f88c32b9ffda7b5d,64.0,1273.0,1899.0,N
5f7520af012f9e5ab3bf7e051b0410aaf765bd61,2.0,8.0,3.0,N
ab76e67ccc67349a8483e8ee314621303d6a2fbd,3.0,4.0,4.0,N
1a57fcf6b015c23f56aea896397bca03fc109ead,0.0,0.0,0.0,N
1baf9b7f47f1f1592391a9eb18b3ad0b340f7355,3.0,42.0,42.0,N
701ac94d9ad29192368ad63e7d6975794dc3c2f7,0.0,0.0,0.0,N
0616f5960ab4563d771c9b861755a63cf4aa4180,1.0,1.0,1.0,N
698bb9c9788b82d4127d861fb3ecf06a06b683c2,0.0,0.0,0.0,N
9f9a2a556986cc67452081f0bd763e3ed1da8f75,1.0,2.0,0.0,N
e2d2adec9b29eafb63dd8f8f44c03ae2e9db2984,0.0,0.0,0.0,N
273fa637a193f3aa4c50dd901ed50d5a48e25a9e,0.0,0.0,0.0,N
44e47e82d03743cbec3fe6aff17c76711520c061,1.0,0.0,3.0,N
c3db9162ab26ae001beed0b9d1910a5e94e22056,0.0,0.0,0.0,N
1f39064656c93660b97db349a1ba8744eecdaeeb,3.0,11.0,1.0,N
da8e6662eb4c8ba135b373551c56e04e3ea8e6b6,0.0,0.0,0.0,N
f7a78023abf5119526d0e6e9c8d9e6122545cafb,2.0,3.0,8.0,Y
b9322a5b072bdf7140a17f51acc2aee091b1faaf,0.0,0.0,0.0,N
941b14dcfa2f21f0b189b88c50122ef0c5756a3a,619.0,97435.0,2360.0,N
9a60d7a3c78d7673ca674898c1e314cfa8a2cd79,0.0,0.0,0.0,N
f18d98fc45f89d058ebbd2578e2c9e82cfedc722,0.0,0.0,0.0,N
cef7c2b7a00110621cc833f0eccfd6692ec828b4,6.0,9.0,8.0,N
3bc27e3ded3fab45201a156501bfad6cbceecc94,54.0,835.0,1768.0,N
6cc99e37d1c6c4f51394f8bf7119d1ee801f159c,542.0,1542.0,81304.0,N
baf7e2c48a7b5340cfd169efa638fa2f1fa03eab,2.0,26.0,3.0,N
fe68fd968bdfab3d902f86956ae04bd3d46b444e,1.0,1.0,1.0,N
3539864fa4fc622e10fdba4e28d99e1cc7d73949,26.0,398.0,685.0,Y
861d9ab112c95bf1ed614e4ef6b88c7c00ffd6ca,2.0,23.0,1.0,N
b66d028f90e9376c16c0be1736411300d4bad587,5.0,36.0,14.0,N
9eecaf890d06df8d94c73227498a572f4d4cc96d,2.0,44.0,18.0,N
c5e7a0d0f137cc5f0ccf6116541c16d4a7727598,5.0,19.0,21.0,N
138a7a7f0bc4aceb829915106673b969552cee85,1.0,1.0,1.0,N
3d058660c94d97b15e9700b615a82051b599be34,622.0,2348.0,86749.0,Y
e1eb16b3783bbcda9d2b83f7b1224a51c00e5e62,1.0,1.0,1.0,N
dcb4cfe39c2100abf287595458fcfd930dce21d2,0.0,0.0,0.0,N
19e72e852cb25caa1ee18b6c5ae1ae627e337bf1,2.0,5.0,18.0,N
0ba0e3e0c9100af24b17d7fdbcc4f82fcec7d239,0.0,0.0,0.0,N
f6915d45a61593f95bf779558a32f807d583932c,108.0,2461.0,4142.0,N
030c11ea1072bfaf170f0d2d6ade0900d3d7f263,0.0,0.0,0.0,N
6b9da0804e59935bbe280570bead20954e779c40,1.0,2.0,3.0,N
0024a0c603d0b18fdc85075c29dbab999bb4e62b,0.0,0.0,0.0,N
d0bfbe1332b1b22bfc5bc67bf335f524f957daf6,7.0,13.0,7.0,N
23f572420b4b1b24e79b53067c9a2cb703599756,1.0,47.0,13.0,N
80304231ff550f74b99a88684b23031208bec919,0.0,0.0,0.0,N
b2417d49d67bbbdd6c9ee58f009c58098a527962,38.0,217.0,1309.0,N
69ddc67a2b0ca527368ca7a27ac58621c745037b,0.0,0.0,0.0,N
20b4f8b2195a1bf214f63e10b1bbca4690c0290f,68.0,1328.0,1974.0,N
e7f7feac92b4ae7045b5d1c0c8cc75bb842cc20b,623.0,2346.0,97590.0,N
baa310618ed639c312f2281bc8364d55e5977174,1.0,4.0,7.0,N
54ccd71a54e4c4f96c65dc0c03a573b878f82fc3,0.0,0.0,0.0,N
80ab3625e9802fbd8bff16c706fc788cf7aed17c,631.0,99084.0,2842.0,N
e21642d87903869ab7f9239afd20c21ae4cb280e,1.0,1.0,0.0,N
c5c3571ca15ee2dd675fb3cac44bd0f926ccfc67,5.0,6.0,35.0,N
bb542b0bf6244304e835a59f3743df9bc28535fe,0.0,0.0,0.0,N
77ff701300d90b5e8b711797cf809dbe94af75a4,1.0,29.0,1.0,Y
f0c0bba6b235473b1b65ada94e93808242d9d006,2.0,2.0,3.0,N
a54068c712e73a562c70cd009a216d8674cddef8,608.0,85944.0,1765.0,Y
a725b2397eb39fd811cc3afc3cf298b3fe27742e,184.0,1284.0,21135.0,N
b4422f13b6c609b5f68eb0a053f4bc08182f97d5,89.0,1370.0,3730.0,N
205bc6339f7d59ca6533231e0c92a1ad295e05f0,596.0,1765.0,85095.0,Y
4d0c93db22b1b63081be95264b2548b793fdd439,0.0,0.0,0.0,N
0bca1733d64a92d8ec411f5fdf41ebc90a1bddef,1.0,1.0,1.0,N
9420e7e57f618a0132d826942e1018900537f67a,4.0,3.0,18.0,N
ff345c1fa9dcbe55e96037bec3b59d06c3f64cd4,0.0,0.0,0.0,Y
7b88cf352e2ab4d9df0c068432140b13821ba057,1.0,1.0,1.0,N
2dd7a9426e5634211f14cf5c4e10e021d3420c3c,183.0,21137.0,1285.0,N
be8f8327b3c2d36e89420d62fb8ca530ba726cf3,2.0,148.0,0.0,N
a0bc262fb09b8ed90cc260f7295c4c77077e96e5,0.0,0.0,0.0,N
f9cf61d75e49305e41e06736f1dd75f4c7c2abfa,17.0,445.0,330.0,N
934240a0c10845297c1fdbe297626829f37310d9,6.0,69.0,25.0,N
3226a1ce4641c256134de995d673596e8aa4c603,1.0,22.0,4.0,N
a3650ef458cfe941f2cba26e112060f5bf7f6360,7.0,37.0,1.0,N
d80eded266087bd438bea47db58135a06327d76e,1.0,19.0,7.0,N
ca5874cdf11af8d835335d228b643f28aeb3f9c3,239.0,4563.0,21576.0,N
2e410513e75ec9b584c50a92bec5f24b057b3836,2.0,1.0,5.0,N
deba55833b8752c5275cb37ac3a1043583790963,1.0,2.0,2.0,N
049905bb60de3984fe36dc1079649090e3be5dfa,622.0,86764.0,2374.0,Y
fc5fbb8b352cf91050cdde4a9f9e77e673ab7f48,0.0,0.0,0.0,N
426d143784ee3610aa3582d43316f1344abd6275,98.0,1737.0,2340.0,N
06a3fa9ea6e5c0f7a7b12b601bb1951269bf5b2b,2.0,8.0,2.0,N
04b4907e10c152072dcb1fcdae9d0198d7dc9603,2.0,11.0,9.0,N
d664a40be9fe22a737cf79527644a6eb91678919,157.0,1395.0,18628.0,N
8da9572ac7d12e843ce8579c9e5629a528a3d0ea,2.0,2.0,0.0,N
079ebf8192a97d8e280790546005b04c5743e4a1,541.0,81078.0,1538.0,Y
277d4e636776c183988953af874016b103168cc3,8.0,1374.0,2.0,Y
d85c470747c22fa47a1f914388861b018ce9acc8,46.0,1019.0,1294.0,N
94b96087ba78853b97770a0968a5e9bea63811d4,1.0,1.0,0.0,N
